Date,Clicks,Impressions,CTR,Position
2026-06-09,2,447,0.45%,17
2026-06-10,2,404,0.5%,12.2
2026-06-11,0,414,0%,13.9
2026-06-12,3,464,0.65%,12.9
2026-06-13,3,299,1%,15.1
2026-06-14,0,442,0%,18.1
2026-06-15,2,390,0.51%,13.9
2026-06-16,0,427,0%,14.4
2026-06-17,2,449,0.45%,17
2026-06-18,4,341,1.17%,16.6
2026-06-19,2,425,0.47%,13.5
2026-06-20,1,410,0.24%,18.1
2026-06-21,4,396,1.01%,14.2
2026-06-22,6,415,1.45%,13.8
2026-06-23,3,399,0.75%,21.6
2026-06-24,7,259,2.7%,20.3
2026-06-25,4,305,1.31%,16.2
2026-06-26,1,321,0.31%,19.6
2026-06-27,3,374,0.8%,13.5
2026-06-28,1,345,0.29%,15.1
2026-06-29,3,319,0.94%,17.8
2026-06-30,5,317,1.58%,16.8
2026-07-01,3,395,0.76%,14.8
2026-07-02,4,466,0.86%,13.8
2026-07-03,1,335,0.3%,15.5
2026-07-04,1,415,0.24%,15.2
2026-07-05,3,422,0.71%,17
2026-07-06,10,507,1.97%,15.3
2026-07-07,4,631,0.63%,14
2026-07-08,3,1020,0.29%,11.2
2026-07-09,2,958,0.21%,9.9
2026-07-10,2,778,0.26%,11.3
2026-07-11,2,733,0.27%,14.3
2026-07-12,3,735,0.41%,12.9
2026-07-13,5,713,0.7%,12
2026-07-14,5,754,0.66%,11.3
2026-07-15,6,745,0.81%,11.2
2026-07-16,4,660,0.61%,14.6
2026-07-17,1,669,0.15%,12.2
2026-07-18,2,628,0.32%,11.8
2026-07-19,4,621,0.64%,11.4
2026-07-20,3,695,0.43%,14.6
2026-07-21,8,723,1.11%,15.4
2026-07-22,6,661,0.91%,14.3
2026-07-23,7,689,1.02%,13.1
2026-07-24,5,633,0.79%,12.2
2026-07-25,5,619,0.81%,13.7
2026-07-26,4,722,0.55%,13.5
2026-07-27,7,687,1.02%,12.7
2026-07-28,5,764,0.65%,12.6
2026-07-29,4,746,0.54%,13.4
2026-07-30,5,722,0.69%,14.2
2026-07-31,1,691,0.14%,14.1
2026-08-01,0,790,0%,13
2026-08-02,4,652,0.61%,13.2
2026-08-03,3,585,0.51%,12.8
2026-08-04,8,763,1.05%,17
2026-08-05,8,721,1.11%,16.1
2026-08-06,5,635,0.79%,13.4
2026-08-07,6,584,1.03%,14.8
2026-08-08,5,646,0.77%,13.8
2026-08-09,7,900,0.78%,11.7
2026-08-10,4,879,0.46%,13.3
2026-08-11,9,946,0.95%,11.3
2026-08-12,6,989,0.61%,11.8
2026-08-13,3,1014,0.3%,13.3
2026-08-14,4,864,0.46%,11.5
2026-08-15,4,819,0.49%,11.1
2026-08-16,3,888,0.34%,12.1
2026-08-17,8,856,0.93%,10.8
2026-08-18,4,883,0.45%,14.2
2026-08-19,6,889,0.67%,13.3
2026-08-20,5,605,0.83%,14.5
2026-08-21,6,565,1.06%,13
2026-08-22,5,752,0.66%,14.1
2026-08-23,8,601,1.33%,14.8
2026-08-24,6,811,0.74%,11.8
2026-08-25,7,644,1.09%,14.3
2026-08-26,2,620,0.32%,14
2026-08-27,4,554,0.72%,13.9
2026-08-28,2,621,0.32%,14.7
2026-08-29,4,463,0.86%,17.5
2026-08-30,3,569,0.53%,14.3
2026-08-31,5,909,0.55%,12.8
2026-09-01,12,820,1.46%,13.4
2026-09-02,5,780,0.64%,11.8
2026-09-03,4,873,0.46%,12.1
2026-09-04,1,708,0.14%,11.2
2026-09-05,5,728,0.69%,11.2
2026-09-06,2,729,0.27%,13.2
2026-09-07,2,727,0.28%,11.3
2026-09-08,9,779,1.16%,10.9
