Country,Clicks,Impressions,CTR,Position
United Kingdom,92,11609,0.79%,22.17
United States,53,16432,0.32%,12.97
Italy,25,1922,1.3%,10.61
Spain,19,1101,1.73%,8.36
Netherlands,17,4440,0.38%,8.24
Australia,17,1051,1.62%,9.25
France,15,1220,1.23%,8.99
Germany,12,3800,0.32%,9.08
Turkey,12,705,1.7%,9.72
Canada,9,1390,0.65%,8.58
Greece,8,848,0.94%,7.96
Croatia,5,382,1.31%,8.32
South Africa,5,280,1.79%,6.97
India,4,804,0.5%,13.11
United Arab Emirates,4,704,0.57%,16.58
Sweden,4,534,0.75%,5.52
Malaysia,4,253,1.58%,10.13
Poland,4,252,1.59%,6.94
Portugal,4,175,2.29%,5.87
Norway,3,818,0.37%,19
Philippines,3,482,0.62%,12.64
Ireland,3,284,1.06%,8.26
Malta,3,254,1.18%,16.91
Austria,3,157,1.91%,6.6
Montenegro,3,98,3.06%,5.74
Bulgaria,3,98,3.06%,8.05
New Zealand,2,447,0.45%,12.64
Denmark,2,374,0.53%,6.67
Japan,2,253,0.79%,5.68
Finland,2,176,1.14%,5.91
Romania,2,121,1.65%,5.85
Cyprus,2,83,2.41%,4.31
Hungary,2,75,2.67%,5.48
Bahamas,2,72,2.78%,17.42
Nigeria,2,70,2.86%,6.19
Switzerland,1,445,0.22%,33.63
Brazil,1,394,0.25%,7.01
Indonesia,1,272,0.37%,15.34
Mexico,1,246,0.41%,10.71
South Korea,1,224,0.45%,6.7
Singapore,1,211,0.47%,10.01
Belgium,1,183,0.55%,5.31
Saudi Arabia,1,141,0.71%,17.67
Russia,1,128,0.78%,12.06
Egypt,1,116,0.86%,11.91
Taiwan,1,83,1.2%,5.84
China,1,83,1.2%,6.07
Serbia,1,79,1.27%,6.03
Slovenia,1,66,1.52%,5.2
Fiji,1,34,2.94%,6.24
Jordan,1,34,2.94%,20.71
Peru,1,31,3.23%,6.97
Jersey,1,22,4.55%,5
Trinidad & Tobago,1,20,5%,4.95
French Polynesia,1,19,5.26%,6.11
Isle of Man,1,18,5.56%,6
Tanzania,1,17,5.88%,5.35
Tonga,1,3,33.33%,3.33
Mozambique,1,3,33.33%,9
St. Helena,1,2,50%,2
Thailand,0,379,0%,15.92
Estonia,0,253,0%,7.03
Vietnam,0,223,0%,23.48
Hong Kong,0,176,0%,5.91
Pakistan,0,132,0%,27.1
Ukraine,0,96,0%,9.76
Bangladesh,0,94,0%,21.24
Monaco,0,93,0%,11.23
Argentina,0,85,0%,6.74
Colombia,0,75,0%,8.07
Israel,0,69,0%,6.54
Czechia,0,67,0%,5.73
Morocco,0,67,0%,17.9
Qatar,0,66,0%,29.45
Puerto Rico,0,65,0%,5.69
Gibraltar,0,64,0%,34.11
Oman,0,53,0%,40.15
Kenya,0,52,0%,6.23
Bahrain,0,48,0%,38.54
Albania,0,47,0%,5.62
Lithuania,0,45,0%,6.96
Dominican Republic,0,44,0%,29.32
Algeria,0,43,0%,12.42
Sri Lanka,0,39,0%,7.69
Ecuador,0,35,0%,8.69
Latvia,0,34,0%,6.91
Kazakhstan,0,33,0%,5
Luxembourg,0,31,0%,8.19
Chile,0,30,0%,5.97
Myanmar (Burma),0,30,0%,7.37
Antigua & Barbuda,0,29,0%,51
Panama,0,28,0%,6.86
Slovakia,0,26,0%,5.62
Tunisia,0,26,0%,7.42
Guernsey,0,25,0%,6.88
Venezuela,0,24,0%,6.25
Ghana,0,24,0%,6.92
Iraq,0,24,0%,11.75
Lebanon,0,23,0%,5.3
Iran,0,21,0%,6.62
Jamaica,0,20,0%,5
Zimbabwe,0,20,0%,5.85
Kuwait,0,20,0%,7.6
Iceland,0,18,0%,8.33
Sint Maarten,0,18,0%,36.22
Azerbaijan,0,16,0%,4.06
Georgia,0,16,0%,7.19
Bosnia & Herzegovina,0,15,0%,4.47
Uruguay,0,15,0%,5.4
Mauritius,0,15,0%,6.67
Nepal,0,15,0%,10.33
Namibia,0,14,0%,4.71
Cambodia,0,14,0%,4.93
Maldives,0,14,0%,6.43
Seychelles,0,14,0%,6.71
Costa Rica,0,14,0%,9.07
British Virgin Islands,0,14,0%,12.71
Paraguay,0,13,0%,4.77
Uzbekistan,0,12,0%,5.17
Ethiopia,0,12,0%,5.42
Belarus,0,11,0%,3.91
Brunei,0,10,0%,11.2
Armenia,0,9,0%,2.44
Angola,0,9,0%,5.44
Moldova,0,9,0%,6.89
Yemen,0,8,0%,3.62
US Virgin Islands,0,8,0%,5.62
Curaçao,0,8,0%,7.25
Greenland,0,8,0%,8.38
Papua New Guinea,0,7,0%,4.14
Liberia,0,7,0%,11.29
Martinique,0,6,0%,2.33
Palestine,0,6,0%,5.33
Åland Islands,0,6,0%,6.33
Honduras,0,6,0%,12.5
Senegal,0,6,0%,15.33
Macedonia,0,5,0%,3.2
Bermuda,0,5,0%,5.4
Kyrgyzstan,0,5,0%,5.4
Laos,0,5,0%,6.4
Uganda,0,5,0%,6.4
Guatemala,0,5,0%,9.4
Cape Verde,0,4,0%,3.5
Libya,0,4,0%,3.5
Barbados,0,4,0%,4.25
Botswana,0,4,0%,4.5
Bolivia,0,4,0%,5
St. Lucia,0,4,0%,7.5
Madagascar,0,4,0%,7.75
Svalbard & Jan Mayen,0,4,0%,8.5
Guadeloupe,0,3,0%,1.33
Togo,0,3,0%,2.33
Cayman Islands,0,3,0%,3.33
Belize,0,3,0%,4.33
St. Martin,0,3,0%,4.67
Solomon Islands,0,3,0%,5
St. Kitts & Nevis,0,3,0%,5.33
Cuba,0,3,0%,6
Guam,0,3,0%,6
Cook Islands,0,3,0%,6.33
Mongolia,0,3,0%,6.33
Caribbean Netherlands,0,3,0%,8.67
Grenada,0,3,0%,8.67
Rwanda,0,3,0%,12.33
Cameroon,0,2,0%,1.5
Guinea-Bissau,0,2,0%,1.5
Afghanistan,0,2,0%,2
Andorra,0,2,0%,2
Nauru,0,2,0%,2
San Marino,0,2,0%,2.5
Côte d’Ivoire,0,2,0%,3
Marshall Islands,0,2,0%,3
El Salvador,0,2,0%,3
Suriname,0,2,0%,3.5
Palau,0,2,0%,4
South Sudan,0,2,0%,4
Turks & Caicos Islands,0,2,0%,4
Guinea,0,2,0%,4.5
Haiti,0,2,0%,4.5
Benin,0,2,0%,5
Nicaragua,0,2,0%,6
Guyana,0,2,0%,6.5
Syria,0,2,0%,6.5
Réunion,0,2,0%,7
Zambia,0,2,0%,7.5
Bhutan,0,2,0%,11
Macau,0,2,0%,22
Comoros,0,1,0%,1
Djibouti,0,1,0%,1
Mali,0,1,0%,1
Tajikistan,0,1,0%,1
French Guiana,0,1,0%,2
Montserrat,0,1,0%,4
St. Vincent & Grenadines,0,1,0%,4
Unknown Region,0,1,0%,4
Niger,0,1,0%,5
Sudan,0,1,0%,5
Turkmenistan,0,1,0%,5
Dominica,0,1,0%,6
Swaziland,0,1,0%,6
Congo - Brazzaville,0,1,0%,7
Gabon,0,1,0%,7
Anguilla,0,1,0%,8
Equatorial Guinea,0,1,0%,8
Aruba,0,1,0%,10
Burkina Faso,0,1,0%,10
Vanuatu,0,1,0%,10
Samoa,0,1,0%,11
