Top queries,Clicks,Impressions,CTR,Position
foreland marine,39,56,69.64%,1
large yacht code,3,411,0.73%,23.62
pms database,3,173,1.73%,6.43
yacht refit project management,1,878,0.11%,19.71
yacht refit cost,1,105,0.95%,11.52
yacht owner representative,1,85,1.18%,10.94
foreland,1,47,2.13%,9.26
how to buy a super yacht,1,3,33.33%,4.67
superyacht salary,1,2,50%,29.5
i need a source,1,1,100%,3
ja daar ben ik wel benieuwd naar,1,1,100%,3
explorer yachts,1,1,100%,10
yacht refit management,0,849,0%,26.66
cost of yacht interior refit,0,801,0%,8.08
marine consultancy,0,726,0%,37.2
yacht build manager,0,542,0%,61.31
superyacht project management,0,506,0%,52.24
new build yacht management,0,502,0%,14.12
yacht it refit hardware,0,490,0%,8.48
yacht build management,0,460,0%,48.35
yacht project management,0,419,0%,59.26
yacht project managers,0,331,0%,74.25
"""large yacht code"" compliance",0,306,0%,5.75
yacht refit,0,254,0%,51.15
pms data building service,0,212,0%,13.31
super yacht repair,0,206,0%,49.65
yacht crew salary guide,0,173,0%,40.53
marine consultancy services,0,172,0%,37.8
marine weather routing services,0,159,0%,22.27
charter broker vs central agent owner's representative,0,158,0%,8.73
ly3,0,144,0%,8.65
weather routing services,0,142,0%,28.31
weather routing service,0,135,0%,28.48
best flag state for ship registration,0,134,0%,35.49
how to buy a yacht,0,132,0%,36.3
superyacht project manager,0,129,0%,68.78
maritime consultancy,0,118,0%,54.19
weather routing companies,0,117,0%,42.87
"what is a typical seasonal yacht refit cost, and what factors drive the 
final price?",0,114,0%,1.49
"""large yacht code"" mca",0,114,0%,8.2
luxury yacht refit solent,0,113,0%,11.82
superyacht buying guide,0,113,0%,19.19
yacht refit solent,0,107,0%,17.33
weather routing services for ships,0,105,0%,41.45
weather routing,0,104,0%,36.12
weather routing company,0,104,0%,41.2
yacht refit companies,0,103,0%,48.05
seatime check,0,95,0%,4.64
independent tanker owner representation,0,95,0%,26.27
yacht refit and repair,0,95,0%,56.63
re paint yacht solent,0,89,0%,14.53
marine consultant,0,86,0%,66.13
yachts for sale,0,85,0%,5.99
yacht chef salary,0,82,0%,53.01
ship weather routing services,0,80,0%,39.46
marine consulting,0,79,0%,47.76
superyacht refit,0,78,0%,16.67
marine consultancy companies,0,77,0%,64.17
